IndicatorCode,Indicator,ValueType,ParentLocationCode,ParentLocation,Location type,SpatialDimValueCode,Location,Period type,Period,IsLatestYear,Dim1 type,Dim1,Dim1ValueCode,Dim2 type,Dim2,Dim2ValueCode,Dim3 type,Dim3,Dim3ValueCode,DataSourceDimValueCode,DataSource,FactValueNumericPrefix,FactValueNumeric,FactValueUoM,FactValueNumericLowPrefix,FactValueNumericLow,FactValueNumericHighPrefix,FactValueNumericHigh,Value,FactValueTranslationID,FactComments,Language,DateModified
AIR_41,Ambient air pollution attributable deaths,numeric,EUR,Europe,Country,GBR,United Kingdom of Great Britain and Northern Ireland,Year,2016,false,Sex,Female,SEX_FMLE,GHE cause of death codes,Chronic obstructive pulmonary disease,GHECAUSE_GHE001180,,,,,,,1404,,,295.4,,3444,1404 [295-3444],,,EN,2024-10-03T05:00:00.000Z
AIR_41,Ambient air pollution attributable deaths,numeric,EUR,Europe,Country,GBR,United Kingdom of Great Britain and Northern Ireland,Year,2016,false,Sex,Male,SEX_MLE,GHE cause of death codes,Chronic obstructive pulmonary disease,GHECAUSE_GHE001180,,,,,,,1450,,,305.1,,3557,1450 [305-3557],,,EN,2024-10-03T05:00:00.000Z
AIR_41,Ambient air pollution attributable deaths,numeric,EUR,Europe,Country,GBR,United Kingdom of Great Britain and Northern Ireland,Year,2016,false,Sex,Male,SEX_MLE,GHE cause of death codes,Stroke,GHECAUSE_GHE001140,,,,,,,1473,,,576.2,,2631,1473 [576-2631],,,EN,2024-10-03T05:00:00.000Z
AIR_41,Ambient air pollution attributable deaths,numeric,EUR,Europe,Country,GBR,United Kingdom of Great Britain and Northern Ireland,Year,2016,false,Sex,Both sexes,SEX_BTSX,GHE cause of death codes,"Trachea, bronchus, lung cancers",GHECAUSE_GHE000680,,,,,,,1627,,,780.8,,2864,1627 [781-2864],,,EN,2024-10-03T05:00:00.000Z
AIR_41,Ambient air pollution attributable deaths,numeric,EUR,Europe,Country,GBR,United Kingdom of Great Britain and Northern Ireland,Year,2016,false,Sex,Male,SEX_MLE,GHE cause of death codes,Acute lower respiratory infections,GHECAUSE_GHE000390,,,,,,,1789,,,627.5,,3353,1789 [627-3353],,,EN,2024-10-03T05:00:00.000Z
AIR_41,Ambient air pollution attributable deaths,numeric,EUR,Europe,Country,GBR,United Kingdom of Great Britain and Northern Ireland,Year,2016,false,Sex,Female,SEX_FMLE,GHE cause of death codes,Stroke,GHECAUSE_GHE001140,,,,,,,2051,,,802.4,,3664,2051 [802-3664],,,EN,2024-10-03T05:00:00.000Z
AIR_41,Ambient air pollution attributable deaths,numeric,EUR,Europe,Country,GBR,United Kingdom of Great Britain and Northern Ireland,Year,2016,false,Sex,Female,SEX_FMLE,GHE cause of death codes,Acute lower respiratory infections,GHECAUSE_GHE000390,,,,,,,2242,,,786.4,,4203,2242 [786-4203],,,EN,2024-10-03T05:00:00.000Z
AIR_41,Ambient air pollution attributable deaths,numeric,EUR,Europe,Country,GBR,United Kingdom of Great Britain and Northern Ireland,Year,2016,false,Sex,Both sexes,SEX_BTSX,GHE cause of death codes,All causes,GHECAUSE_GHE000000,,,,,,,24489,,,17336,,32411,24 489 [17 336-32 411],,,EN,2024-10-03T05:00:00.000Z
AIR_41,Ambient air pollution attributable deaths,numeric,EUR,Europe,Country,GBR,United Kingdom of Great Britain and Northern Ireland,Year,2016,false,Sex,Both sexes,SEX_BTSX,GHE cause of death codes,Chronic obstructive pulmonary disease,GHECAUSE_GHE001180,,,,,,,2855,,,600.5,,7002,2855 [600-7002],,,EN,2024-10-03T05:00:00.000Z
AIR_41,Ambient air pollution attributable deaths,numeric,EUR,Europe,Country,GBR,United Kingdom of Great Britain and Northern Ireland,Year,2016,false,Sex,Both sexes,SEX_BTSX,GHE cause of death codes,Stroke,GHECAUSE_GHE001140,,,,,,,3523,,,1379,,6294,3523 [1379-6294],,,EN,2024-10-03T05:00:00.000Z
