"Table 2.1b: Annual Mean Concentrations of PM2.5 in the UK at urban background monitoring sites, 2009 to 2024",,,,,
[z] is shorthand for 'Not Applicable',,,,,
Year,Site,Annual Mean PM2.5 concentration (µg/m3)[note 1],95% confidence interval for 'All sites' (+/-)[note 3],Data capture (%),Measurement Frequency[note 4]
2022,Eastbourne,8.89200720018886,[z],96.7123287671233,Hourly
2023,Eastbourne,7.82781237303786,[z],61.8150684931507,Hourly
2024,Eastbourne,6.69689507860561,[z],99.931693989071,Hourly
2009,Edinburgh St Leonards,8.45695761796134,[z],95.0799086757991,Hourly
2010,Edinburgh St Leonards,9.48828411032463,[z],93.5388127853881,Hourly
2011,Edinburgh St Leonards,11.6590644635792,[z],98.1050228310502,Hourly
2012,Edinburgh St Leonards,10.9540321297916,[z],71.5733151183971,Hourly
2013,Edinburgh St Leonards,7.51643883631265,[z],97.7054794520548,Hourly
2014,Edinburgh St Leonards,9.10209132101778,[z],65.5022831050228,Hourly
2015,Edinburgh St Leonards,6.38662420382166,[z],86.027397260274,Hourly
2016,Edinburgh St Leonards,6.35023456790123,[z],92.2131147540984,Hourly
2017,Edinburgh St Leonards,6.63660436137072,[z],95.2739726027397,Hourly
2018,Edinburgh St Leonards,6.3095639428362,[z],93.458904109589,Hourly
2019,Edinburgh St Leonards,6.3423531712086,[z],93.4132420091324,Hourly
2020,Edinburgh St Leonards,4.44757303370787,[z],99.2941712204007,Hourly
2021,Edinburgh St Leonards,4.77509865470852,[z],99.2808219178082,Hourly
2022,Edinburgh St Leonards,5.12967789401081,[z],99.3036529680365,Hourly
2023,Edinburgh St Leonards,4.6443112,[z],99.8858447488584,Hourly
2024,Edinburgh St Leonards,5.38260399089326,[z],85.0068306010929,Hourly
2009,Glasgow Centre,11.6578366445916,[z],98.2534246575343,Hourly
2010,Glasgow Centre,12.4375792507205,[z],99.0296803652968,Hourly
2011,Glasgow Centre,10.1695715323166,[z],94.3150684931507,Hourly
2012,Glasgow Centre,9.60656044985942,[z],60.7354280510018,Hourly
2013,Glasgow Townhead,5.35111482720178,[z],20.4794520547945,Hourly
2014,Glasgow Townhead,7.49546560778788,[z],89.12100456621,Hourly
2015,Glasgow Townhead,6.54666337732824,[z],92.5456621004566,Hourly
2016,Glasgow Townhead,6.83874660686888,[z],96.4594717668488,Hourly
2017,Glasgow Townhead,7.73385922047702,[z],98.1164383561644,Hourly
2018,Glasgow Townhead,6.8865084930842,[z],94.0867579908676,Hourly
2019,Glasgow Townhead,6.69833747412008,[z],99.2465753424657,Hourly
2020,Glasgow Townhead,4.95510227923491,[z],99.3966302367942,Hourly
2021,Glasgow Townhead,5.19632464998852,[z],99.4748858447489,Hourly
2022,Glasgow Townhead,5.71189234834559,[z],99.3607305936073,Hourly
2023,Glasgow Townhead,4.86944501836547,[z],99.4520547945205,Hourly
2024,Glasgow Townhead,5.33461595441595,[z],99.8975409836066,Hourly
2022,Hartlepool St Abbs Walk,6.76370525747209,[z],63.4018264840183,Hourly
2023,Hartlepool St Abbs Walk,7.11042713857505,[z],99.0182648401827,Hourly
2024,Hartlepool St Abbs Walk,8.14119537545253,[z],97.4840619307832,Hourly
2022,Honiton,6.60105083260298,[z],78.1506849315069,Hourly
2023,Honiton,6.24733800551471,[z],99.3607305936073,Hourly
2024,Honiton,5.8787328428555,[z],99.0323315118397,Hourly
2009,Hull Freetown,14.0222470792941,[z],91.8493150684932,Hourly
2010,Hull Freetown,9.79116757410768,[z],94.3493150684932,Hourly
2011,Hull Freetown,12.4337702175125,[z],81.8721461187215,Hourly
2012,Hull Freetown,10.7334989354152,[z],96.2431693989071,Hourly
2013,Hull Freetown,12.3589587953776,[z],97.796803652968,Hourly
2014,Hull Freetown,12.3515333013896,[z],95.296803652968,Hourly
2015,Hull Freetown,10.8777736318408,[z],91.7808219178082,Hourly
2016,Hull Freetown,11.242616889313,[z],95.4462659380692,Hourly
2017,Hull Freetown,10.2209832561454,[z],96.1301369863014,Hourly
2018,Hull Freetown,10.6806090304515,[z],97.8424657534247,Hourly
2019,Hull Freetown,10.7573206280714,[z],95.2397260273973,Hourly
2020,Hull Freetown,8.69967780624127,[z],97.7686703096539,Hourly
2021,Hull Freetown,8.29318580615526,[z],99.4063926940639,Hourly
2022,Hull Freetown,9.09098165768658,[z],99.5776255707762,Hourly
2023,Hull Freetown,7.5313489089455,[z],99.9200913242009,Hourly
2024,Hull Freetown,7.95006646904572,[z],99.8520036429873,Hourly
2022,Immingham Woodlands Avenue,6.04624326783115,[z],62.7397260273973,Hourly
2023,Immingham Woodlands Avenue,7.01041730659026,[z],99.6004566210046,Hourly
2024,Immingham Woodlands Avenue,7.01751572112098,[z],99.931693989071,Hourly
2009,Leamington Spa,12.8982950509117,[z],96.4155251141553,Hourly
2010,Leamington Spa,16.030929038282,[z],97.8082191780822,Hourly
2011,Leamington Spa,15.920240280327,[z],68.4132420091324,Hourly
2012,Leamington Spa,11.4063900701069,[z],99.0551001821494,Hourly
2013,Leamington Spa,12.9856244641326,[z],79.8858447488584,Hourly
2014,Leamington Spa,12.9486248236953,[z],97.1232876712329,Hourly
2015,Leamington Spa,12.262141565487,[z],88.37899543379,Hourly
2016,Leamington Spa,10.4923895060269,[z],96.3342440801457,Hourly
2017,Leamington Spa,10.6732974910394,[z],95.5479452054795,Hourly
2018,Leamington Spa,9.80204451971933,[z],94.3607305936073,Hourly
2019,Leamington Spa,9.82677174424071,[z],97.1232876712329,Hourly
2020,Leamington Spa,6.75234332269827,[z],99.9089253187614,Hourly
2021,Leamington Spa,7.1413235534775,[z],97.6598173515982,Hourly
2022,Leamington Spa,7.6158830249029,[z],99.9315068493151,Hourly
2023,Leamington Spa,6.72462037037037,[z],99.8630136986301,Hourly
2024,Leamington Spa,6.69680471687365,[z],99.9203096539162,Hourly
2009,Leeds Centre,13.7038817449826,[z],94.9885844748858,Hourly
2010,Leeds Centre,14.9406730658032,[z],98.7100456621005,Hourly
2011,Leeds Centre,16.077443876945,[z],96.1073059360731,Hourly
2012,Leeds Centre,15.762918690076,[z],91.4275956284153,Hourly
2013,Leeds Centre,13.7339736933195,[z],65.958904109589,Hourly
2014,Leeds Centre,13.0212712560386,[z],94.5205479452055,Hourly
2015,Leeds Centre,11.4333254100309,[z],96.0502283105023,Hourly
2016,Leeds Centre,9.59117859640942,[z],97.6548269581056,Hourly
2017,Leeds Centre,9.83031473031473,[z],97.5684931506849,Hourly
2018,Leeds Centre,11.5313420124103,[z],93.824200913242,Hourly
2019,Leeds Centre,12.3086154958429,[z],94.7374429223744,Hourly
2020,Leeds Centre,7.96494161097432,[z],97.0969945355191,Hourly
2021,Leeds Centre,7.72038473932558,[z],99.189497716895,Hourly
2022,Leeds Centre,8.61592000919435,[z],99.3264840182648,Hourly
2023,Leeds Centre,7.59620169220215,[z],99.8401826484018,Hourly
2024,Leeds Centre,7.6628835443038,[z],94.4330601092896,Hourly
2009,Leicester Centre,15.2517104789341,[z],63.4018264840183,Hourly
2010,Leicester Centre,15.2935906271537,[z],66.2557077625571,Hourly
2011,Leicester Centre,14.4432112467629,[z],92.5684931506849,Hourly
2012,Leicester Centre,14.2612847222222,[z],78.6885245901639,Hourly
2013,Leicester Centre,12.4959206419973,[z],51.2100456621005,Hourly
2013,Leicester University,12.2452775073028,[z],23.4474885844749,Hourly
2014,Leicester University,13.307316783466,[z],96.1073059360731,Hourly
2015,Leicester University,12.019491226004,[z],96.9292237442922,Hourly
2016,Leicester University,11.550549583283,[z],94.2509107468124,Hourly
2017,Leicester University,10.592311276794,[z],97.9908675799087,Hourly
2018,Leicester University,10.4235835859175,[z],97.9223744292238,Hourly
2019,Leicester University,11.2238765373699,[z],96.5296803652968,Hourly
2020,Leicester University,7.48416499481148,[z],98.7363387978142,Hourly
2021,Leicester University,7.48496782749077,[z],98.9954337899543,Hourly
2022,Leicester University,7.93092394914672,[z],99.6689497716895,Hourly
2023,Leicester University,6.92553754305396,[z],99.4292237442922,Hourly
2024,Leicester University,6.80430256410256,[z],99.8975409836066,Hourly
2009,London Bloomsbury,16.3043150081771,[z],90.7420091324201,Hourly
2010,London Bloomsbury,16.3962737843552,[z],86.3926940639269,Hourly
2011,London Bloomsbury,17.4346256840144,[z],98.0479452054795,Hourly
2012,London Bloomsbury,16.1886487111317,[z],98.485883424408,Hourly
2013,London Bloomsbury,11.6866211478133,[z],61.8607305936073,Hourly
2014,London Bloomsbury,14.6018184007707,[z],94.7945205479452,Hourly
2015,London Bloomsbury,10.9285475991898,[z],95.810502283105,Hourly
2016,London Bloomsbury,12.0180193063997,[z],95.525956284153,Hourly
2017,London Bloomsbury,10.9583549872743,[z],94.189497716895,Hourly
2018,London Bloomsbury,10.3594791409529,[z],92.4885844748859,Hourly
2019,London Bloomsbury,10.7505141388175,[z],97.6940639269406,Hourly
2020,London Bloomsbury,9.31745949449125,[z],87.83014571949,Hourly
2021,London Bloomsbury,11.0543130990415,[z],35.7305936073059,Hourly
2022,London Bloomsbury,7.61026029467321,[z],60.4337899543379,Hourly
2023,London Bloomsbury,7.84168041842971,[z],97.1232876712329,Hourly
2024,London Bloomsbury,7.32895190793459,[z],93.9776867030965,Hourly
2009,London Harrow Stanmore,13.4004172461752,[z],82.0776255707763,Hourly
2010,London Harrow Stanmore,12.8341361801849,[z],87.6826484018265,Hourly
2011,London Harrow Stanmore,15.9560772434684,[z],90.4452054794521,Hourly
